Date,Open,High,Low,Close,Volume,Adj Close
2013-03-11,115.12,115.23,114.74,114.86,5815800,111.66
2013-03-08,114.87,115.36,114.62,114.75,15423600,111.56
2013-03-07,116.41,116.51,115.91,115.96,8526700,112.73
2013-03-06,117.11,117.50,116.85,116.86,6514900,113.61
2013-03-05,118.07,118.20,117.68,117.93,6539300,114.65
2013-03-04,118.79,118.97,118.26,118.27,4511400,114.98
2013-03-01,118.84,119.21,118.54,118.90,7786800,115.59
2013-02-28,118.43,118.66,117.98,118.51,6023400,114.97
2013-02-27,119.49,119.54,118.00,118.29,7459600,114.75
2013-02-26,118.73,119.67,118.59,118.64,9822100,115.09
2013-02-25,116.35,119.35,116.29,119.33,15948700,115.76
2013-02-22,116.98,117.34,116.88,117.03,5316900,113.53
2013-02-21,116.90,117.31,116.74,116.95,8297400,113.45
2013-02-20,115.69,116.37,115.57,116.27,9603900,112.79
2013-02-19,116.86,116.90,115.84,115.92,7383600,112.45
2013-02-15,116.66,116.74,116.07,116.50,5861800,113.02
2013-02-14,116.29,117.04,115.99,116.84,7096000,113.35
2013-02-13,115.80,116.27,115.55,115.79,6586400,112.33
2013-02-12,116.69,117.02,116.46,116.74,4513700,113.25
2013-02-11,117.05,117.38,116.92,117.03,3679900,113.53
2013-02-08,116.80,117.16,116.23,117.12,5603400,113.62
2013-02-07,116.77,117.59,116.62,116.67,5951700,113.18
2013-02-06,116.52,116.97,116.05,116.93,5892000,113.43
2013-02-05,116.27,116.43,115.86,115.98,6676500,112.51
2013-02-04,116.59,117.28,116.42,117.02,9291900,113.52
2013-02-01,117.73,117.85,115.51,115.54,10928600,112.09
2013-01-31,117.03,117.34,116.55,117.32,6789200,113.56
2013-01-30,116.67,116.96,116.16,116.75,9586800,113.01
2013-01-29,117.62,118.08,116.87,116.95,5553900,113.20
2013-01-28,117.02,117.72,117.00,117.60,6059900,113.83
2013-01-25,118.42,118.60,117.77,118.03,8750700,114.25
2013-01-24,119.87,119.97,119.26,119.67,4178900,115.83
2013-01-23,120.34,120.58,119.95,120.09,2848800,116.24
2013-01-22,119.55,120.30,119.38,120.27,3874100,116.42
2013-01-18,119.57,120.21,119.46,120.04,4660000,116.19
2013-01-17,119.33,119.55,118.75,119.12,7019200,115.30
2013-01-16,120.63,120.68,120.01,120.32,4286100,116.46
2013-01-15,120.61,120.70,119.97,120.07,5357800,116.22
2013-01-14,120.04,120.28,119.37,119.52,3064600,115.69
2013-01-11,118.52,119.86,118.35,119.85,4770700,116.01
2013-01-10,118.63,119.30,118.36,118.79,5602800,114.98
2013-01-09,119.25,119.54,118.87,119.12,3870300,115.30
2013-01-08,119.04,119.29,118.82,119.23,4380900,115.41
2013-01-07,118.37,118.73,118.00,118.45,4193100,114.65
2013-01-04,117.66,118.44,117.36,118.40,9574600,114.61
2013-01-03,119.38,119.49,117.90,117.94,10004300,114.16
2013-01-02,119.76,119.90,119.41,119.56,7472700,115.73
2012-12-31,122.87,122.97,120.91,121.18,6423000,117.30
2012-12-28,123.14,123.34,122.78,123.31,3928200,119.36
2012-12-27,121.88,123.29,121.83,122.61,4262700,118.68
2012-12-26,121.95,122.21,121.81,122.20,2247800,118.28
2012-12-24,122.00,122.08,121.87,122.03,1071100,117.86
