Volume,Adj Close,,,,,,,,,,,,,,,CNY,"A,B"
3200,41.27,,,,,,,,,,,,,,,,
1900,41.27,,,,,,,,,,,,,,,,
35500,41.17,,,,,,,,,,,,,,,,
30700,41.13,,,,,,,,,,,,,,,,
33300,41.15,,,,,,,,,,,,,,,,
12800,41.11,,,,,,,,,,,,,,,,
3400,41.11,,,,,,,,,,,,,,,,
14900,41.13,,,,,,,,,,,,,,,,
2000,41.03,,,,,,,,,,,,,,,,
2600,41.03,,,,,,,,,,,,,,,,
14000,41.05,,,,,,,,,,,,,,,,
14000,41.07,,,,,,,,,,,,,,,,
7400,41.05,,,,,,,,,,,,,,,,
33600,41,,,,,,,,,,,,,,,,
11400,40.91,,,,,,,,,,,,,,,,
14400,40.95,,,,,,,,,,,,,,,,
12700,41.02,,,,,,,,,,,,,,,,
4400,40.95,,,,,,,,,,,,,,,,
5100,40.9,,,,,,,,,,,,,,,,
18000,40.93,,,,,,,,,,,,,,,,
4800,40.88,,,,,,,,,,,,,,,,
18200,40.85,,,,,,,,,,,,,,,,
15700,40.86,,,,,,,,,,,,,,,,
12300,40.85,,,,,,,,,,,,,,,,
3300,40.93,,,,,,,,,,,,,,,,
1100,41.02,,,,,,,,,,,,,,,,
17200,41.05,,,,,,,,,,,,,,,,
4200,40.95,,,,,,,,,,,,,,,,
11300,40.89,,,,,,,,,,,,,,,,
11400,40.92,,,,,,,,,,,,,,,,
2300,40.93,,,,,,,,,,,,,,,,
28800,40.88,,,,,,,,,,,,,,,,
25100,40.88,,,,,,,,,,,,,,,,
23300,40.94,,,,,,,,,,,,,,,,
10500,40.82,,,,,,,,,,,,,,,,
6200,40.7,,,,,,,,,,,,,,,,
2900,40.83,,,,,,,,,,,,,,,,
14300,40.89,,,,,,,,,,,,,,,,
5800,40.83,,,,,,,,,,,,,,,,
3000,40.63,,,,,,,,,,,,,,,,
11400,40.82,,,,,,,,,,,,,,,,
42300,40.45,,,,,,,,,,,,,,,,
28100,40.94,,,,,,,,,,,,,,,,
10200,40.98,,,,,,,,,,,,,,,,
59200,40.92,,,,,,,,,,,,,,,,
7200,40.88,,,,,,,,,,,,,,,,
22300,41.02,,,,,,,,,,,,,,,,
29800,41.14,,,,,,,,,,,,,,,,
13900,41.27,,,,,,,,,,,,,,,,
12400,41.29,,,,,,,,,,,,,,,,
2100,41.17,,,,,,,,,,,,,,,,
4800,41,,,,,,,,,,,,,,,,
53700,41.09,,,,,,,,,,,,,,,,
